r_m,Phi,clock_dnu_over_nu,interferometer_phase_proxy,cavity_df_over_f,gravimeter_dg_proxy
1.78,4.367395801184089e-19,4.367395801184089e-19,-9.999607043471658e-16,2.1836979005920443e-19,9.852411681807828e-18
1.79,3.4787347669776384e-19,3.4787347669776384e-19,-9.999687400180732e-16,1.7393673834888192e-19,7.980689271881105e-18
1.8,2.7602616196642735e-19,2.7602616196642735e-19,-9.999752253024591e-16,1.3801308098321368e-19,6.439138306352818e-18
1.81,2.181677889792042e-19,2.181677889792042e-19,-9.999804385784609e-16,1.090838944896021e-19,5.174713932757342e-18
1.82,1.7176064193492677e-19,1.7176064193492677e-19,-9.99984612544687e-16,8.588032096746338e-20,4.141882838513431e-18
1.83,1.3468846445488075e-19,1.3468846445488075e-19,-9.99987940866125e-16,6.734423222744038e-20,3.3017460138467955e-18
1.84,1.0519421317604155e-19,1.0519421317604155e-19,-9.999905840124248e-16,5.2597106588020774e-20,2.6212310870280143e-18
1.85,8.182553845699978e-20,8.182553845699978e-20,-9.999926743581946e-16,4.091276922849989e-20,2.072354499731205e-18
1.86,6.338729778387674e-20,6.338729778387674e-20,-9.999943206139816e-16,3.169364889193837e-20,1.6315525338734638e-18
1.87,4.890042271677641e-20,4.890042271677641e-20,-9.999956116546313e-16,2.4450211358388206e-20,1.2790791637232501e-18
1.8800000000000001,3.7566484791121756e-20,3.7566484791121756e-20,-9.999966198088841e-16,1.8783242395560878e-20,9.984678785199704e-19
1.8900000000000001,2.87373376585569e-20,2.87373376585569e-20,-9.999974036706214e-16,1.436866882927845e-20,7.760539875069913e-19
1.9000000000000001,2.188925004882835e-20,2.188925004882835e-20,-9.99998010488246e-16,1.0944625024414175e-20,6.005534643396548e-19
1.9100000000000001,1.6600985166122917e-20,1.6600985166122917e-20,-9.999984781844782e-16,8.300492583061459e-21,4.626940924418323e-19
1.92,1.2535325404651626e-20,1.2535325404651626e-20,-9.999988370544623e-16,6.267662702325813e-21,3.548945170307155e-19
1.93,9.423585485515105e-21,9.423585485515105e-21,-9.99999111185673e-16,4.711792742757552e-21,2.70986772798963e-19
1.94,7.052701189990688e-21,7.052701189990688e-21,-9.999993196387522e-16,3.526350594995344e-21,2.0597791850151587e-19
1.95,5.254523900855954e-21,5.254523900855954e-21,-9.999994774241887e-16,2.627261950427977e-21,1.5584655163743716e-19
1.96,3.8969924577603166e-21,3.8969924577603166e-21,-9.99999596305741e-16,1.9484962288801583e-21,1.1737018000973911e-19
1.97,2.876892852126191e-21,2.876892852126191e-21,-9.999996854577313e-16,1.4384464260630954e-21,8.797967574215428e-20
1.98,2.113952654350911e-21,2.113952654350911e-21,-9.99999751999847e-16,1.0569763271754555e-21,6.563731669004911e-20
1.99,1.5460505407922227e-21,1.5460505407922227e-21,-9.999998014298923e-16,7.7302527039611135e-22,4.87352173828666e-20
2.0,1.1253517471925911e-21,1.1253517471925911e-21,-9.999998361396057e-16,5.626758735962956e-22,3.6011255910162917e-20
