t_s,modulation_m_t,Phi,clock_dnu_over_nu,cavity_df_over_f,gravimeter_dg_proxy
86.0,-0.5877852522924715,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
86.5,-0.8090169943749472,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
87.0,-0.9510565162951519,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
87.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
88.0,-0.9510565162951542,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
88.5,-0.8090169943749477,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
89.0,-0.587785252292472,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
89.5,-0.3090169943749512,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
90.0,-2.204364238465236e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
90.5,0.309016994374947,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
91.0,0.5877852522924685,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
91.5,0.809016994374945,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
92.0,0.9510565162951529,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
92.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
93.0,0.9510565162951532,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
93.5,0.8090169943749498,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
94.0,0.587785252292475,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
94.5,0.30901699437494795,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
95.0,5.879542597180472e-15,3.678794411714424e-15,3.678794411714424e-15,1.839397205857212e-15,1.4715177646857694e-14
95.5,-0.3090169943749435,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
96.0,-0.5877852522924712,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
96.5,-0.8090169943749471,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
97.0,-0.951056516295154,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
97.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
98.0,-0.9510565162951543,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
98.5,-0.8090169943749478,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
99.0,-0.5877852522924779,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
99.5,-0.30901699437495145,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
100.0,-2.4492935982947065e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
